Item,Qty,Reference,Part Name,Manufacturer,Description
1,1,A101,2450AT45A100E,,
2,1,U102,2450FB15L0001,,
3,1,F401,3403.0163.11,,
4,3,S801-803,40-4520-00,,
5,2,U701-702,ACS712,,
6,1,U601,ADS130E08IPAG,,
7,1,U101,ATMEGA256RFR2,,
8,1,R401,B57235S100M54,,
9,2,D201-202,BAT54S,,
10,1,C116,CAP0402,22pF,IPC SM-782 STD.,SURFACE MOUNT CAPACITOR 0.031 X 0.061 INCHES
11,20,C101-102 C201 C203 C301 C402 C602-604 C610 C612-613 C702 C704 C801-803 C901 C1003 C4001,CAP0603,0.1uF,IPC SM-782 STD.,SURFACE MOUNT CAPACITOR 0.031 X 0.061 INCHES
12,1,C302,CAP0603,10nF,IPC SM-782 STD.,SURFACE MOUNT CAPACITOR 0.031 X 0.061 INCHES
13,1,C605,CAP0603,10uF,IPC SM-782 STD.,SURFACE MOUNT CAPACITOR 0.031 X 0.061 INCHES
14,3,C113-115,CAP0603,16pF,IPC SM-782 STD.,SURFACE MOUNT CAPACITOR 0.031 X 0.061 INCHES
15,18,C103-105 C107-109 C404-407 C601 C606 C608-609 C611 C614 C1002 C1004,CAP0603,1uF,IPC SM-782 STD.,SURFACE MOUNT CAPACITOR 0.031 X 0.061 INCHES
16,1,C607,CAP0603,22uF,IPC SM-782 STD.,SURFACE MOUNT CAPACITOR 0.031 X 0.061 INCHES
17,2,C202 C204,CAP0603,4.7nF,IPC SM-782 STD.,SURFACE MOUNT CAPACITOR 0.031 X 0.061 INCHES
18,2,C111-112,CAP0603,N/A,IPC SM-782 STD.,SURFACE MOUNT CAPACITOR 0.031 X 0.061 INCHES
19,1,C110,CAP1210,47uF,IPC SM-782 STD.,SURFACE MOUNT CAPACITOR 0.098 X 0.126 INCHES
20,1,C403,CAP-D10P,4.7uF,,
21,1,C401,EEE-FTV151,150uF,,
22,1,M401,ERZ-V07D471,,
23,1,L101,FERRITE,,
24,1,J1,HEADER03,,THREE PIN INLINE HEADER; 100 MIL CENTERS
25,1,J101,ISP_HEADER,,
26,1,U402,L78L05,,
27,1,U301,LM2903-TI,,
28,2,J1301-1302,NEMA-5-15R,,
29,2,J1201-1202,NEMA5-15P,,
30,1,U901,NHD-0208AZ-RN-YBW-33V,,
31,1,D401,P4SMA20A,,
32,1,R901,PVG3A,10K,,
33,1,U1001,REF02BU,,
34,1,R101,RES0603,0,IPC SM-782 STD.,SURFACE MOUNT RESISTOR 0.031 X 0.061 INCHES, 1/10W
35,6,R102-105 R301 R601,RES0603,10K,IPC SM-782 STD.,SURFACE MOUNT RESISTOR 0.031 X 0.061 INCHES, 1/10W
36,2,R203 R206,RES0603,1M,IPC SM-782 STD.,SURFACE MOUNT RESISTOR 0.031 X 0.061 INCHES, 1/10W
37,2,R1001-1002,RES0603,2.2k,IPC SM-782 STD.,SURFACE MOUNT RESISTOR 0.031 X 0.061 INCHES, 1/10W
38,2,R202 R205,RES0603,2K,IPC SM-782 STD.,SURFACE MOUNT RESISTOR 0.031 X 0.061 INCHES, 1/10W
39,1,R1003,RES0603,330,IPC SM-782 STD.,SURFACE MOUNT RESISTOR 0.031 X 0.061 INCHES, 1/10W
40,2,R602-603,RES0603,470,IPC SM-782 STD.,SURFACE MOUNT RESISTOR 0.031 X 0.061 INCHES, 1/10W
41,2,R201 R204,RES2512,330K,IPC SM-782 STD.,SURFACE MOUNT RESISTOR 0.126 X 0.248 INCHES, 1W
42,3,S1-3,SHORT,,
43,1,X101,TSX-3225_16.0000,,
44,1,U403,UA78M33,,
45,1,U401,VSK-S3-12U,,
